lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,27846,42346,46235,0,0,5
0,0,0,0,0,0,25542,34904,39321,0,0,10
0,0,0,0,0,0,22069,31159,37849,0,0,15
0,0,0,0,0,0,20372,29639,36648,0,0,20
0,0,0,0,0,0,18708,28198,35640,0,0,25
0,0,0,0,0,0,31463,34520,36216,0,1,30
0,0,0,0,0,0,23029,30151,35960,0,0,35
0,0,0,0,0,0,20148,28662,35368,0,0,40
0,0,0,0,0,0,18708,27862,34920,0,0,45
0,0,0,0,0,0,17988,27238,34728,0,0,50
0,0,0,0,0,0,17940,27158,34744,0,0,55
0,0,0,0,0,0,31511,33256,36056,0,0,60
0,0,0,0,0,0,24069,30567,36232,0,1,65
0,0,0,0,0,0,20292,28662,35400,0,0,70
0,0,0,0,0,0,18676,27766,34872,0,0,75
0,0,0,0,0,0,17780,27110,34616,0,0,80
0,0,0,0,0,0,17364,26742,34392,0,0,85
0,0,0,0,0,0,17492,26902,34488,0,0,90
0,0,0,0,0,0,32968,33928,36953,0,1,95
0,0,0,0,0,0,28054,35432,38937,0,1,141
0,0,0,0,0,0,24197,31239,37177,0,0,145
0,0,0,0,0,0,20853,29335,36072,0,0,150
0,0,0,0,0,0,19156,28086,35240,0,0,155
0,0,0,0,0,0,18020,27430,34840,0,0,160
0,0,0,0,0,0,32759,34536,35960,0,1,165
0,0,0,0,0,0,22341,29479,35336,0,0,170
0,0,0,0,0,0,19652,28294,34936,0,0,175
0,0,0,0,0,0,18372,27446,34632,0,0,180
0,0,0,0,0,0,17636,26902,34424,0,0,185
0,0,0,0,0,0,17268,26758,34280,0,0,190
0,0,0,0,0,0,16660,26246,34072,0,0,195
0,0,0,0,0,0,31575,33960,36808,0,1,200
0,0,0,0,0,0,22853,29863,35752,0,0,205
0,0,0,0,0,0,19812,28278,35112,0,0,210
0,0,0,0,0,0,18356,27382,34632,0,0,215
0,0,0,0,0,0,17652,26934,34440,0,0,220
0,0,0,0,0,0,17284,26646,34280,0,0,225
0,0,0,0,0,0,26214,33256,37721,0,1,242
0,0,0,0,0,0,23589,30151,36088,0,0,245
0,0,0,0,0,0,19956,28454,35256,0,0,250
0,0,0,0,0,0,18548,27494,34760,0,0,255
0,0,0,0,0,0,18212,27398,34744,0,0,260
0,0,0,0,0,0,32727,33512,36136,0,0,265
0,0,0,0,0,0,24646,30791,36200,0,1,270
0,0,0,0,0,0,20452,28775,35288,0,0,275
0,0,0,0,0,0,18676,27622,34760,0,0,280
0,0,0,0,0,0,17732,26982,34456,0,0,285
0,0,0,0,0,0,17268,26726,34280,0,0,290
0,0,0,0,0,0,19524,28006,35112,0,0,295
0,0,0,0,0,0,31447,33256,36168,0,1,300
0,0,0,0,0,0,22197,29527,35448,0,0,305
0,0,0,0,0,0,19332,28022,34888,0,0,310
0,0,0,0,0,0,18020,27190,34472,0,0,315
0,0,0,0,0,0,17396,26806,34328,0,0,320
0,0,0,0,0,0,17092,26438,34152,0,0,325
0,0,0,0,0,0,28374,33128,37065,0,1,337
0,0,0,0,0,0,23861,29879,35800,0,0,340
0,0,0,0,0,0,20036,28262,35016,0,0,345
0,0,0,0,0,0,18484,27462,34648,0,0,350
0,0,0,0,0,0,17668,26854,34376,0,0,355
0,0,0,0,0,0,17220,26582,34168,0,0,360
0,0,0,0,0,0,16612,26182,34024,0,0,365
0,0,0,0,0,0,30631,33560,36552,0,1,370
0,0,0,0,0,0,22373,29463,35544,0,0,375
0,0,0,0,0,0,19572,28102,34936,0,0,380
0,0,0,0,0,0,18196,27206,34552,0,0,385
0,0,0,0,0,0,17508,26806,34280,0,0,390
0,0,0,0,0,0,17908,27046,34488,0,0,395
0,0,0,0,0,0,34408,33640,36152,0,0,400
0,0,0,0,0,0,24485,30711,36104,0,1,405
0,0,0,0,0,0,20420,28662,35272,0,0,410
0,0,0,0,0,0,18644,27558,34680,0,0,415
0,0,0,0,0,0,17700,27014,34392,0,0,420
0,0,0,0,0,0,17268,26662,34280,0,0,425
0,0,0,0,0,0,27622,33048,36905,0,1,437
0,0,0,0,0,0,23477,29751,35752,0,0,440
0,0,0,0,0,0,19828,28198,34952,0,0,445
0,0,0,0,0,0,18356,27398,34632,0,0,450
0,0,0,0,0,0,17588,26790,34344,0,0,455
0,0,0,0,0,0,17172,26518,34136,0,0,460
0,0,0,0,0,0,15219,25414,33560,0,0,465
0,0,0,0,0,0,31207,33944,36937,0,1,470
0,0,0,0,0,0,22773,29815,35720,0,0,475
0,0,0,0,0,0,19732,28278,35032,0,0,480
0,0,0,0,0,0,18276,27286,34584,0,0,485
0,0,0,0,0,0,17556,26822,34360,0,0,490
0,0,0,0,0,0,19732,28102,35144,0,0,495
0,0,0,0,0,0,31671,33528,36296,0,1,500
0,0,0,0,0,0,22229,29527,35448,0,0,505
0,0,0,0,0,0,19364,28022,34872,0,0,510
0,0,0,0,0,0,18068,27206,34456,0,0,515
0,0,0,0,0,0,17380,26790,34248,0,0,520
0,0,0,0,0,0,30183,32872,36312,0,0,532
0,0,0,0,0,0,26438,31399,36504,0,1,535
0,0,0,0,0,0,20581,28630,35288,0,0,540
0,0,0,0,0,0,18612,27542,34696,0,0,545
0,0,0,0,0,0,17668,26998,34424,0,0,550
0,0,0,0,0,0,17204,26550,34280,0,0,555
0,0,0,0,0,0,17044,26406,34136,0,0,560
0,0,0,0,0,0,29687,32055,35832,0,0,565
0,0,0,0,0,0,24293,30855,36312,0,1,570
0,0,0,0,0,0,20100,28486,35160,0,0,575
0,0,0,0,0,0,18372,27446,34712,0,0,580
0,0,0,0,0,0,17540,26822,34344,0,0,585
0,0,0,0,0,0,17092,26454,34136,0,0,590
0,0,0,0,0,0,19332,27830,34984,0,0,595
0,0,0,0,0,0,33112,33432,36232,0,1,600
0,0,0,0,0,0,22501,29607,35480,0,0,605
0,0,0,0,0,0,19508,28118,34888,0,0,610
